S_No,MetroMate_Platform,B2B_B2C,Category,Sub_Category,Repair_Related_Service,Maintenance_Related_Service,Keywords_Tags
168,MetroMate B2B + B2C,Both,Train Ticket Booking,Tatkal Booking,Tatkal Booking – Rebooking & Issue Resolution,Tatkal Booking – Travel Plan Review,"train_ticket_booking,tatkal_booking"
169,MetroMate B2B + B2C,Both,Bus Ticket Booking,Sleeper Bus,Sleeper Bus – Rebooking & Issue Resolution,Sleeper Bus – Travel Plan Review,"bus_ticket_booking,sleeper_bus"
170,MetroMate B2B + B2C,Both,Bus Ticket Booking,Luxury Coach,Luxury Coach – Rebooking & Issue Resolution,Luxury Coach – Travel Plan Review,"bus_ticket_booking,luxury_coach"
171,MetroMate B2B + B2C,Both,Vehicle Rental,Self Drive Car,Self Drive Car – Issue Resolution & Support,Self Drive Car – Fleet Maintenance Review,"vehicle_rental,self_drive_car"
172,MetroMate B2B + B2C,Both,Vehicle Rental,Chauffeur Driven Car,Chauffeur Driven Car – Issue Resolution & Support,Chauffeur Car – Fleet Maintenance Review,"vehicle_rental,chauffeur_driven_car"
173,MetroMate B2B + B2C,Both,Local Transport,Cab Service,Cab Service – Issue Resolution & Support,Cab Service – Route & Schedule Review,"local_transport,cab_service"
174,MetroMate B2B + B2C,Both,Local Transport,Goods Transport,Goods Transport – Issue Resolution & Support,Goods Transport – Route & Schedule Review,"local_transport,goods_transport"
175,MetroMate B2B + B2C,Both,Travel Planning,Holiday Package,Holiday Package – Rebooking & Issue Resolution,Holiday Package – Travel Plan Review,"travel_planning,holiday_package"
176,MetroMate B2B + B2C,Both,Travel Planning,Corporate Travel,Corporate Travel – Rebooking & Issue Resolution,Corporate Travel – Travel Plan Review,"travel_planning,corporate_travel"
177,MetroMate B2C,B2C,Beautician Services,Home Service,Beautician – Redo & Correction Service,Beautician – Regular Upkeep Plan,"beautician_services,home_service"
178,MetroMate B2C,B2C,Beautician Services,Bridal Makeup,Bridal Makeup – Redo & Correction Service,Bridal Makeup – Trial & Review,"beautician_services,bridal_makeup"
179,MetroMate B2C,B2C,Salon Services,Haircut,Haircut – Redo & Correction Service,Haircut – Regular Upkeep Plan,"salon_services,haircut"
180,MetroMate B2C,B2C,Salon Services,Hair Treatment,Hair Treatment – Redo & Correction Service,Hair Treatment – Maintenance Plan,"salon_services,hair_treatment"
181,MetroMate B2C,B2C,Grooming Services,Men's Grooming,Men's Grooming – Redo & Correction Service,Men's Grooming – Regular Upkeep Plan,"grooming_services,men's_grooming"
182,MetroMate B2C,B2C,Grooming Services,Women's Grooming,Women's Grooming – Redo & Correction Service,Women's Grooming – Regular Upkeep Plan,"grooming_services,women's_grooming"
183,MetroMate B2B + B2C,Both,Hardware Supplier,Construction Hardware,Construction Hardware – Replacement & Quality Fix,Construction Hardware – Inventory Review,"hardware_supplier,construction_hardware"
184,MetroMate B2B + B2C,Both,Hardware Supplier,Industrial Hardware,Industrial Hardware – Replacement & Quality Fix,Industrial Hardware – Inventory Review,"hardware_supplier,industrial_hardware"
185,MetroMate B2B + B2C,Both,Stainless Steel Supplier,SS Sheets,SS Sheets – Replacement & Quality Fix,SS Sheets – Supply & Inventory Review,"stainless_steel_supplier,ss_sheets"
186,MetroMate B2B + B2C,Both,Stainless Steel Supplier,SS Pipes,SS Pipes – Replacement & Quality Fix,SS Pipes – Supply & Inventory Review,"stainless_steel_supplier,ss_pipes"
187,MetroMate B2B + B2C,Both,Restaurant Equipment Supplier,Kitchen Equipment,Kitchen Equipment – Repair & Troubleshooting,Kitchen Equipment – Maintenance & AMC,"restaurant_equipment_supplier,kitchen_equipment"
188,MetroMate B2B + B2C,Both,Restaurant Equipment Supplier,Refrigeration Equipment,Refrigeration Equipment – Repair & Troubleshooting,Refrigeration Equipment – Maintenance & AMC,"restaurant_equipment_supplier,refrigeration_equipment"
189,MetroMate B2B + B2C,Both,Commercial Material Supplier,Packaging Material,Packaging Material – Replacement & Quality Fix,Packaging Material – Supply Review,"commercial_material_supplier,packaging_material"
190,MetroMate B2B + B2C,Both,Commercial Material Supplier,Industrial Supplies,Industrial Supplies – Replacement & Quality Fix,Industrial Supplies – Supply Review,"commercial_material_supplier,industrial_supplies"
191,MetroMate B2B + B2C,Both,Solar Panel Installation,Residential Solar,Residential Solar – Repair & Troubleshooting,Residential Solar – Maintenance & AMC,"solar_panel_installation,residential_solar"
192,MetroMate B2B + B2C,Both,Solar Panel Installation,Commercial Solar,Commercial Solar – Repair & Troubleshooting,Commercial Solar – Maintenance & AMC,"solar_panel_installation,commercial_solar"
193,MetroMate B2B + B2C,Both,Movers & Packers,Home Relocation,Home Relocation – Damage Resolution & Support,Home Relocation – Post-Move Review,"movers,packers,home_relocation"
194,MetroMate B2B + B2C,Both,Movers & Packers,Office Relocation,Office Relocation – Damage Resolution & Support,Office Relocation – Post-Move Review,"movers,packers,office_relocation"
195,MetroMate B2B + B2C,Both,Others,Custom Requirement,Custom Requirement – Issue Resolution & Support,Custom Requirement – Ongoing Review,"others,custom_requirement"
196,MetroMate B2B + B2C,Both,Others,Specialized Service,Specialized Service – Issue Resolution & Support,Specialized Service – Ongoing Review,"others,specialized_service"
197,MetroMate B2B,B2B,AI Automation,Lead Generation Automation,Lead Gen Automation – Bug Fix & Redeployment,Lead Gen Automation – Updates & Optimization,"agentic_ai,lead_generation,automation"
198,MetroMate B2B,B2B,AI Automation,Fulfillment Automation,Fulfillment Automation – Bug Fix & Redeployment,Fulfillment Automation – Updates & Optimization,"agentic_ai,fulfillment_automation,ai_workflows"
199,MetroMate B2B,B2B,AI Automation,Bench Resource Availability,Bench Resource Availability – Re-assignment & Fix,Bench Resources – Ongoing Availability Review,"bench_resources,availability,ai_workflow"
200,MetroMate B2B,B2B,Software Development,Full-Stack Builds,Full-Stack Builds – Bug Fix & Redeployment,Full-Stack Builds – Updates & Optimization,"full_stack,development,ai_builds"
201,MetroMate B2B,B2B,AI Automation,AI Workflows,AI Workflows – Bug Fix & Redeployment,AI Workflows – Updates & Optimization,"ai_workflows,process_automation"
202,MetroMate B2B,B2B,Supply Chain BI,Supply Chain Business Intelligence,Supply Chain BI – Data Fix & Redeployment,Supply Chain BI – Updates & Optimization,"supply_chain,bi,business_intelligence"
203,MetroMate B2B,B2B,AI Automation,Agentic AI Workflow,Agentic AI Workflow – Bug Fix & Redeployment,Agentic AI Workflow – Updates & Optimization,"agentic_ai,workflow_professional,ai_orchestration"
# CREDITS,SNTL 84,,Agentic AI Workflow Professional,Automate What's Costing You Money,MetroMate B2C SERVICES | MetroMate B2B SERVICES | Lead Generation | Fulfillment Automation | Bench Resource Availability | Full-Stack Builds | AI Workflows | Supply Chain Business Intelligence,🚀 Follow for practical AI automation insights & founder systems,🌐 desidevloper.com | 💬 wa.me/919727413309 | 🔗 linkedin.com/in/sntl2784 | 💻 github.com/SNTL84 | 📸 instagram.com/desibiztrade | 🔴 YouTube @SNTL84
